iter	Passed	Remaining
731	3533	1293
732	3552	1293
733	3555	1288
734	3561	1283
735	3565	1278
736	3570	1274
737	3576	1269
738	3578	1264
739	3584	1259
740	3587	1253
741	3592	1249
742	3596	1243
743	3600	1238
744	3606	1234
745	3609	1228
746	3614	1224
747	3617	1218
748	3623	1214
749	3629	1209
750	3633	1204
751	3637	1199
752	3640	1194
753	3645	1189
754	3650	1184
755	3654	1179
756	3658	1174
757	3662	1169
758	3667	1164
759	3671	1159
760	3675	1154
761	3682	1150
762	3686	1145
763	3691	1140
764	3695	1135
765	3699	1130
766	3705	1125
767	3708	1120
768	3712	1115
769	3717	1110
770	3722	1105
771	3726	1100
772	3731	1095
773	3735	1090
774	3740	1086
775	3745	1081
776	3751	1076
777	3755	1071
778	3760	1066
779	3764	1061
780	3769	1056
781	3774	1052
782	3779	1047
783	3783	1042
784	3788	1037
785	3792	1032
786	3797	1027
787	3801	1022
788	3806	1017
789	3812	1013
790	3817	1008
791	3822	1003
792	3825	998
793	3830	993
794	3833	988
795	3839	983
796	3843	979
797	3847	973
798	3852	969
799	3854	963
800	3859	958
801	3863	953
802	3867	948
803	3871	943
804	3874	938
805	3879	933
806	3883	928
807	3886	923
808	3892	919
809	3899	914
810	3901	909
811	3906	904
812	3912	899
813	3916	894
814	3922	890
815	3931	886
816	3934	881
817	3938	876
818	3944	871
819	3948	866
820	3952	861
821	3958	857
822	3961	852
823	3966	847
824	3971	842
825	3974	837
826	3979	832
827	3985	827
828	3988	822
829	3993	817
830	3998	813
831	4002	808
832	4006	803
833	4011	798
834	4014	793
835	4019	788
836	4022	783
837	4027	778
838	4032	773
839	4036	768
840	4041	764
841	4047	759
842	4052	754
843	4057	750
844	4063	745
845	4067	740
846	4072	735
847	4076	730
848	4081	725
849	4085	721
850	4091	716
851	4096	711
852	4100	706
853	4106	701
854	4108	696
855	4114	692
856	4120	687
857	4125	682
858	4128	677
859	4135	673
860	4138	668
861	4143	663
862	4149	658
863	4154	654
864	4157	648
865	4164	644
866	4167	639
867	4172	634
868	4178	629
869	4184	625
870	4188	620
871	4195	615
872	4198	610
873	4204	606
874	4209	601
875	4215	596
876	4219	591
877	4225	587
878	4229	582
879	4233	577
880	4240	572
881	4244	567
882	4249	563
883	4253	558
884	4258	553
885	4260	548
886	4266	543
887	4271	538
888	4275	533
889	4280	529
890	4285	524
891	4290	519
892	4292	514
893	4298	509
894	4301	504
895	4306	499
896	4311	495
897	4316	490
898	4321	485
899	4324	480
900	4330	475
901	4332	470
902	4336	465
903	4341	461
904	4346	456
905	4351	451
906	4355	446
907	4362	441
908	4365	437
909	4372	432
910	4376	427
911	4382	422
912	4387	418
913	4392	413
914	4396	408
915	4402	403
916	4406	398
917	4411	394
918	4416	389
919	4422	384
920	4426	379
921	4431	374
922	4436	370
923	4439	365
924	4444	360
925	4449	355
926	4454	350
927	4457	345
928	4464	341
929	4468	336
930	4473	331
931	4478	326
932	4483	321
933	4488	317
934	4491	312
935	4498	307
936	4501	302
937	4510	298
938	4515	293
939	4519	288
940	4524	283
941	4529	278
942	4532	273
943	4539	269
944	4541	264
945	4546	259
946	4550	254
947	4556	249
948	4560	245
949	4563	240
950	4569	235
951	4571	230
952	4576	225
953	4581	220
954	4584	216
955	4589	211
956	4591	206
957	4596	201
958	4600	196
959	4603	191
960	4608	187
961	4611	182
962	4615	177
963	4620	172
964	4622	167
965	4628	162
966	4632	158
967	4636	153
968	4641	148
969	4644	143
970	4649	138
971	4652	134
972	4659	129
973	4663	124
974	4667	119
975	4673	114
976	4678	110
977	4683	105
978	4687	100
979	4693	95
980	4696	90
981	4702	86
982	4706	81
983	4710	76
984	4716	71
985	4722	67
986	4725	62
987	4731	57
988	4735	52
989	4741	47
990	4745	43
991	4751	38
992	4755	33
993	4760	28
994	4765	23
995	4770	19
996	4775	14
997	4780	9
998	4785	4
999	4788	0
